State,City,Date,Rainfall(mm),PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
Andhra Pradesh,Amaravati,31-01-2015,9.016633043,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,28-02-2015,14.42770631,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,31-03-2015,33.23746091,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,30-04-2015,35.49365638,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,31-05-2015,78.95768443,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,30-06-2015,95.03796631,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,31-07-2015,117.7437705,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,31-08-2015,163.8585434,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,30-09-2015,172.240267,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,31-10-2015,108.8052434,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,30-11-2015,16.51139101,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,31-12-2015,1.494989622,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,31-01-2016,9.029961475,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,29-02-2016,11.30537784,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,31-03-2016,26.03082288,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,30-04-2016,43.34229898,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,31-05-2016,78.1815461,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,30-06-2016,104.6830416,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,31-07-2016,117.6985836,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,31-08-2016,153.5283658,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,30-09-2016,172.8673101,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,31-10-2016,107.9433841,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,30-11-2016,18.27878957,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,31-12-2016,5.235377735,,,,,,,,,,,,,
Andhra Pradesh,Amaravati,31-01-2017,9.447069431,73.96,113.56,4.58,19.29,13.97,10.95,0.1,13.9,123.8,0.17,2.85,0.04,191
Andhra Pradesh,Amaravati,28-02-2017,12.4239203,89.9,140.2,7.71,26.19,19.87,13.12,0.1,19.37,128.73,0.25,2.79,0.07,191
Andhra Pradesh,Amaravati,31-03-2017,28.59160167,87.14,130.52,0.97,21.31,12.12,14.36,0.15,11.41,114.8,0.23,3.82,0.04,227
Andhra Pradesh,Amaravati,30-04-2017,40.87561113,84.64,125,4.02,26.98,17.58,14.41,0.18,9.84,112.41,0.31,3.53,0.09,168
Andhra Pradesh,Amaravati,31-05-2017,78.56581881,88.36,121.77,3.7,20.23,13.75,13.72,0.12,14.02,117.93,0.24,2.92,0.03,198
Andhra Pradesh,Amaravati,30-06-2017,101.5470382,96.83,139.36,1.6,25.65,14.99,15.12,0.11,16.54,117.21,0.29,4.45,0.07,201
Andhra Pradesh,Amaravati,31-07-2017,117.7146245,117.46,181.64,4.26,41.1,25.32,17.34,0.13,28.79,94.63,0.36,6.21,0.17,252
Andhra Pradesh,Amaravati,31-08-2017,157.0702246,122.88,208.86,5.56,54.87,33.71,17.96,0.27,22.97,68.6,0.36,6.28,0.21,310
Andhra Pradesh,Amaravati,30-09-2017,172.8366558,74.28,141.22,6.1,44.97,28.88,15.73,0.09,21.9,60.62,0.26,4.79,0.16,196
Andhra Pradesh,Amaravati,31-10-2017,108.3756611,50.32,102.77,1.73,33.85,19.41,12.56,0.1,13.65,68.15,0.2,4.29,0.1,132
Andhra Pradesh,Amaravati,30-11-2017,17.7980605,73.095,119.21125,3.5575,26.385,16.92375,11.99,0.125,18.5675,113.17,0.20625,5.845,0.09125,163.625
Andhra Pradesh,Amaravati,31-12-2017,4.068135616,86.085,146.3645,6.267,44.0785,28.2985,19.1035,0.16,12.647,65.5965,0.294,4.274,0.1845,190.25
Andhra Pradesh,Amaravati,31-01-2018,9.366354234,59.61903226,112.036129,5.532903226,35.53290323,23.34967742,18.75903226,0.292903226,11.43129032,47.06516129,0.147419355,4.252903226,0.1,132.2580645
Andhra Pradesh,Amaravati,28-02-2018,13.57075802,40.36178571,92.81214286,6.481071429,21.77857143,16.89,16.97035714,0.691904762,11.72464286,31.07821429,0.867857143,2.739642857,0.123571429,100.2142857
Andhra Pradesh,Amaravati,31-03-2018,31.10006412,33.88290323,72.54290323,5.284516129,17.81064516,13.85774194,13.17387097,0.65516129,10.89258065,28.07096774,0.595806452,1.923548387,3.016451613,78.35483871
Andhra Pradesh,Amaravati,30-04-2018,38.36398925,24.16433333,60.40933333,4.386333333,15.02433333,11.62166667,9.328,0.594888889,9.133222222,26.59033333,0.263,1.065666667,1.730666667,68.56666667
Andhra Pradesh,Amaravati,31-05-2018,78.92950912,27.97333333,67.1227957,4.501935484,16.72204301,12.60494624,11.82430108,0.652365591,9.476344086,51.59430108,7.082258065,2.204193548,5.780967742,100.2580645
Andhra Pradesh,Amaravati,30-06-2018,98.43616932,28.06344444,70.93988889,5.578666667,18.68744444,14.54577778,12.05911111,0.744555556,8.198555556,47.80844444,0.266333333,3.383333333,0.136333333,86.53333333
Andhra Pradesh,Amaravati,31-07-2018,117.8351854,25.56967742,68.28612903,5.747096774,19.86870968,15.27451613,14.7316129,0.567311828,9.330860215,32.66419355,0.159354839,0.539354839,0.126451613,78.90322581
Andhra Pradesh,Amaravati,31-08-2018,160.6204257,25.3416129,58.00709677,4.979354839,18.74064516,14.04096774,15.46225806,0.945483871,10.29096774,31.96516129,0.101290323,0.627741935,0.12516129,83.77419355
Andhra Pradesh,Amaravati,30-09-2018,172.7331209,32.331,65.85944444,6.248,22.38288889,17.04088889,16.17022222,0.768111111,12.36977778,37.31288889,0.057333333,0.752333333,0.529333333,86.3
Andhra Pradesh,Amaravati,31-10-2018,108.7679696,43.40784946,94.17021505,5.112258065,26.4655914,18.26172043,15.13591398,0.877634409,14.10053763,38.81946237,0.072580645,0.509677419,0.126451613,100.0967742
Andhra Pradesh,Amaravati,30-11-2018,17.31360751,49.85933333,105.3336667,7.716333333,51.074,33.57333333,9.329333333,1.002888889,17.44622222,39.43333333,0.076333333,0.555333333,0.284666667,98.43333333
Andhra Pradesh,Amaravati,31-12-2018,2.926030261,57.74451613,102.9583871,5.783870968,47.89870968,30.22096774,17.18258065,0.883870968,20.96322581,31.05580645,0.086129032,0.602580645,0.130967742,124.8709677
Andhra Pradesh,Amaravati,31-01-2019,9.332536987,62.04311828,104.6091398,5.296774194,43.01860215,27.20053763,15.09376344,0.75688172,15.76204301,29.07924731,0.100322581,0.588709677,0.135806452,145.5806452
Andhra Pradesh,Amaravati,28-02-2019,14.74361025,38.13773809,80.84726191,8.618928571,23.82059524,19.70630952,10.58702381,0.666547619,13.2722619,32.47880952,0.100357143,0.508571429,0.136428571,92.64285714
Andhra Pradesh,Amaravati,31-03-2019,33.55336486,33.9111828,77.36333333,4.948064516,19.39892473,14.31827957,8.177311828,0.593655914,12.48817204,32.10150538,0.998387097,3.175483871,0.339032258,87.35483871
Andhra Pradesh,Amaravati,30-04-2019,35.80956033,29.27222222,73.28911111,3.159666667,20.40588889,13.37822222,6.960555555,0.581111111,14.91977778,32.73622222,0.302333333,1.895,0.179,88.2
