State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average
Andhra Pradesh,3.72838491,5.632328645,6.852906223,21.79325362,41.90454476,100.7557413,152.9151304,151.1109817,170.5836019,127.4980891,59.77013683,11.44716027,71.16602163
Arunachal Pradesh,14.96274064,27.05418004,54.15846791,132.6760232,224.175861,360.4107736,392.0436836,313.9274358,231.873713,108.3880553,18.72209982,10.09516132,157.3740163
Assam,14.21833427,29.71628011,75.63427498,190.8694356,378.2854599,546.3943021,517.0884804,428.1706331,303.1723315,160.1366331,27.59138375,8.8760831,223.346136
Bihar,14.86825676,17.24868972,12.79597854,13.48567886,39.25574828,159.2641773,315.5534544,302.3356388,210.8938842,73.39577371,6.905356916,2.541932167,97.37871414
Chandigarh,23.06372549,21.94117647,17.45686275,11.38235294,15.01372549,61.98137255,189.7529412,186.5411765,97.11176471,7.264705882,4.584313725,9.005882353,53.75833333
Chhattisgarh,11.16635049,14.93157108,16.58545772,18.24805331,20.92297426,171.9905392,351.147693,353.4818529,203.3152359,56.12177328,9.017753676,5.370779412,102.6916695
Dadra and Nagar Haveli,0.070647059,1.136029412,0.078686275,0.103598039,6.39545098,345.4912549,649.7276275,362.0563529,218.6068333,39.92301961,9.892696078,1.787107843,136.272442
Delhi,14.92477451,13.1050098,8.935264706,6.743509804,12.02234314,43.96704902,177.7188824,180.7457647,93.50802941,7.752745098,4.916392157,5.091333333,47.4525915
Gujarat,1.07809951,1.184063725,1.649120588,0.908910784,5.758417647,131.8932941,312.6758966,198.7562735,132.3964363,19.58368873,10.27814853,1.356593627,68.12657864
Haryana,14.14426729,13.29638184,10.33323942,7.750446852,12.83588906,45.32885243,161.3388829,159.1136956,76.16226522,5.825832301,4.797220846,5.766680599,43.05780452
Himachal Pradesh,33.67501783,33.71282799,29.15367647,21.90566578,25.57770856,88.93355526,226.3227344,214.9380642,126.6868137,12.84939305,8.205360963,14.06070232,69.66846004
Jammu and Kashmir,51.66173389,51.61690826,56.08147269,47.9204881,37.15765546,58.95456513,163.2638831,162.8967717,79.25491807,17.06507493,10.05427521,25.56779412,63.45796172
Jharkhand,16.0990256,27.51021678,21.43795425,20.98642211,42.78219662,193.909951,316.382598,350.9149385,221.3495223,79.87537582,7.960293028,3.388404684,108.5497416
Karnataka,2.09408415,2.287999183,8.636585376,41.78660703,104.6898828,268.8915221,349.7262749,243.5528546,151.056556,144.6501389,57.24364216,12.19094608,115.5672578
Kerala,22.57127451,25.26554902,39.01235294,134.4439216,199.003098,389.5933627,333.6141961,244.3211373,197.6366961,289.1892745,181.2885882,57.02106863,176.0800433
Madhya Pradesh,12.09312397,10.39946318,9.344106318,4.430973638,8.993276253,121.3186011,321.7978277,310.3025429,184.7077959,28.441161,17.00014967,7.865853813,86.39123962
Maharashtra,4.808407708,5.266293103,7.029988168,11.70439621,21.32759094,184.8997799,293.9671903,225.6653141,191.8462948,64.59523225,22.82539385,7.08954023,86.75211846
Manipur,14.76935392,40.84333039,103.8598225,214.4265667,371.4029127,627.63745,543.5148863,453.3344471,314.4062696,211.9381971,52.38457451,10.11380588,246.5526347
Meghalaya,9.059733333,25.58660784,71.80332157,212.5563922,500.1572373,702.7654176,638.2676961,531.9671392,368.5358176,197.0953882,29.52620392,4.952066667,274.3560851
Mizoram,9.137998599,23.87123389,59.93670448,150.3798824,338.6689734,616.8357675,614.9703501,531.0790966,322.258881,211.0426849,58.81406443,9.449028011,245.5370554
Nagaland,14.88712325,32.56719468,72.88319188,142.876916,256.9312829,415.4023277,396.5392213,335.3963263,233.8937101,144.9004916,34.21806162,10.07794538,174.2144827
Orissa,8.665563399,20.75674902,20.53332451,32.35805163,47.65722908,191.1976353,296.3478637,318.4167108,215.3712454,113.694998,27.44052549,3.346028431,107.9821604
Puducherry,22.47348693,12.57021242,11.44894444,24.32754902,51.57134641,76.59623203,114.0513333,130.091232,134.9454608,195.6829706,208.1585948,113.4559608,91.28111029
Punjab,15.60620761,16.87921396,15.68296597,11.51838062,13.03065744,41.28626355,137.5818103,130.0979752,68.73584083,4.718528258,3.664864475,8.002926759,38.90046958
Rajasthan,4.602195159,4.365700674,4.234346814,4.351551164,9.454491115,58.23351869,202.2694632,182.148185,97.16552083,9.467757659,8.855731618,3.044357537,49.0160683
Sikkim,19.66697255,30.14360784,46.93358039,117.5700314,281.4564196,620.0937922,896.7596039,684.5155098,559.5165255,157.228851,17.80452549,9.982533333,286.8059961
Tamil Nadu,18.34132792,17.68019473,19.08749527,64.38691447,95.13259094,127.857716,130.7293445,130.4539621,126.7847211,207.7878807,171.6852377,78.32742968,99.02123459
Tripura,7.218296569,21.00747794,52.17010539,156.8454191,349.7868505,525.8031225,529.7503382,490.8344853,296.5444755,185.7401397,45.90134314,5.157154412,222.229934
Uttar Pradesh,16.32447017,13.25173557,9.466723529,5.720337255,11.94802941,88.55152507,274.2745643,291.5044046,164.2810352,30.6239916,6.524605042,6.221201261,76.55771858
Uttaranchal,29.28210784,30.15967496,24.64454072,18.95357768,33.06212745,129.0434932,297.1380656,300.2321214,158.2045505,31.10006561,5.706839367,11.58751433,89.09288989
West Bengal,11.95999837,21.23815686,27.96583442,48.56143682,111.3622249,270.0152064,350.8597195,352.3067527,267.7547968,113.8589134,12.67926198,4.521409041,132.7569759
Telangana,3.72838491,5.632328645,6.852906223,21.79325362,41.90454476,100.7557413,152.9151304,151.1109817,170.5836019,127.4980891,59.77013683,11.44716027,71.16602163
